Class,Precision,Recall,F1_Score
A,0.5376344086021505,0.5,0.5181347150259067
B,0.7846153846153846,0.51,0.6181818181818182
C,0.6851851851851852,0.74,0.7115384615384616
D,0.7380952380952381,0.62,0.6739130434782609
E,0.6981132075471698,0.74,0.7184466019417476
F,0.7195121951219512,0.59,0.6483516483516484
G,0.5737704918032787,0.35,0.43478260869565216
H,0.6476190476190476,0.68,0.6634146341463415
I,0.40555555555555556,0.73,0.5214285714285715
J,0.6989247311827957,0.65,0.6735751295336787
K,0.8173076923076923,0.85,0.8333333333333334
L,0.5901639344262295,0.36,0.4472049689440994
M,0.7669902912621359,0.79,0.7783251231527094
N,0.582089552238806,0.39,0.46706586826347307
O,0.5723270440251572,0.91,0.7027027027027027
P,0.7980769230769231,0.83,0.8137254901960784
Q,0.5087719298245614,0.58,0.5420560747663551
R,0.7307692307692307,0.57,0.6404494382022472
S,0.8762886597938144,0.85,0.8629441624365483
T,0.6442307692307693,0.67,0.6568627450980392
U,0.6785714285714286,0.76,0.7169811320754716
V,0.7075471698113207,0.75,0.7281553398058253
W,0.5905511811023622,0.75,0.6607929515418502
X,0.7722772277227723,0.78,0.7761194029850746
Y,0.8045977011494253,0.7,0.7486631016042781
Z,0.9292929292929293,0.92,0.9246231155778895
